"CAMIS","Total","Critical","Not Critical","Not Applicable"
"40374277","9","3","6","0"
"40374395","5","2","3","0"
"40374415","23","13","10","0"
"40374711","4","1","3","0"
"40374834","11","6","5","0"
"40374974","5","2","3","0"
"40375108","9","5","4","0"
"40375286","23","14","9","0"
"40375369","8","7","1","0"
"40375616","10","5","5","0"
"40375699","4","3","1","0"
"40375839","9","4","5","0"
"40375929","15","7","8","0"
"40376077","11","6","5","0"
"40376142","6","2","4","0"
"40376204","13","9","4","0"
"40376290","12","4","8","0"
"40376352","9","5","4","0"
"40376493","7","5","2","0"
"40376495","7","3","4","0"
"40376496","9","6","3","0"
"40376515","13","8","4","1"
"40376583","2","1","1","0"
"40376635","5","2","3","0"
"40376718","12","5","7","0"
"40376735","21","13","8","0"
"40376944","28","15","13","0"
"40377124","11","6","5","0"
"40377243","16","10","6","0"
"40377262","11","6","5","0"
"40377294","8","3","5","0"
"40377325","11","5","6","0"
"40377385","8","4","4","0"
"40377506","9","3","6","0"
"40377560","23","11","12","0"
"40377630","11","5","6","0"
"40377789","14","8","6","0"
"40378035","18","5","13","0"
"40378136","18","9","9","0"
"40378190","16","11","5","0"
"40378212","8","5","3","0"
"40378571","4","1","3","0"
"40378579","9","1","8","0"
"40378796","7","3","4","0"
"40378822","4","2","2","0"
"40378827","22","10","11","1"
"40378874","12","5","7","0"
"40379026","6","3","3","0"
"40379149","8","5","3","0"
"40379566","16","9","7","0"
"40379573","4","1","3","0"
"40379580","23","11","12","0"
"40379628","8","5","3","0"
"40379662","18","12","6","0"
"40379746","11","4","7","0"
"40379890","14","5","9","0"
"40379920","18","11","7","0"
"40380164","13","8","5","0"
"40380182","6","2","4","0"
"40380253","13","7","6","0"
"40380422","8","3","5","0"
"40380432","5","4","1","0"
"40380457","12","7","5","0"
"40380464","11","11","0","0"
"40380517","4","2","2","0"
"40380520","3","0","3","0"
"40380592","6","2","4","0"
"40380628","12","4","8","0"
"40380657","9","5","4","0"
"40380660","15","7","8","0"
"40380826","10","4","6","0"
"40380996","14","6","8","0"
"40381210","5","4","1","0"
"40381420","9","4","5","0"
"40381551","10","4","6","0"
"40381595","3","1","2","0"
"40381720","4","2","2","0"
"40382052","4","2","2","0"
"40382057","13","6","7","0"
"40382652","3","0","3","0"
"40382802","8","5","3","0"
"40383003","5","2","3","0"
"40383033","18","6","12","0"
"40383044","2","0","2","0"
"40383067","6","4","2","0"
"40383147","5","1","4","0"
"40383281","6","2","4","0"
"40383284","6","2","4","0"
"40383464","4","2","2","0"
"40383496","15","8","7","0"
"40383511","13","8","5","0"
"40383609","7","3","4","0"
"40383737","14","7","7","0"
"40383763","4","1","3","0"
"40383819","5","1","3","1"
"40383825","14","9","5","0"
"40383945","13","7","6","0"
"40384036","3","2","1","0"
"40384188","13","7","6","0"
"40384340","27","18","9","0"
"40384458","11","5","6","0"
"40384507","4","2","2","0"
"40384528","12","9","3","0"
"40384575","12","5","7","0"
"40384662","32","17","15","0"
"40384671","22","13","9","0"
"40384920","4","4","0","0"
"40385057","10","2","8","0"
"40385157","3","2","1","0"
"40385161","9","4","5","0"
"40385461","14","8","6","0"
"40385580","27","17","10","0"
"40385584","5","2","3","0"
"40385587","11","6","5","0"
"40385680","3","3","0","0"
"40385693","5","3","2","0"
"40385774","27","7","20","0"
"40385852","10","6","4","0"
"40385873","6","2","4","0"
"40385885","12","5","7","0"
"40385955","3","1","2","0"
"40386001","20","11","9","0"
"40386058","3","1","2","0"
"40386067","7","3","4","0"
"40386147","11","4","7","0"
"40386278","5","3","2","0"
"40386303","3","3","0","0"
"40386340","3","1","2","0"
"40386425","7","3","4","0"
"40386528","5","2","3","0"
"40386556","7","3","4","0"
"40386569","3","2","1","0"
"40386570","3","2","1","0"
"40386612","7","0","7","0"
"40386619","9","3","6","0"
"40386646","5","2","3","0"
"40386672","8","5","3","0"
"40386675","6","3","3","0"
"40386722","11","3","8","0"
"40386747","10","5","5","0"
"40386837","12","3","9","0"
"40386976","25","13","12","0"
"40386999","7","5","2","0"
"40387027","5","2","3","0"
"40387143","4","2","2","0"
"40387162","4","2","2","0"
"40387178","8","1","7","0"
"40387243","1","0","1","0"
"40387277","13","8","5","0"
"40387399","21","8","12","1"
"40387418","10","5","5","0"
"40387528","14","8","6","0"
"40387754","6","2","4","0"
"40387825","17","10","7","0"
"40387861","7","4","3","0"
"40388091","25","14","11","0"
"40388194","2","0","2","0"
"40388218","21","8","13","0"
"40388253","8","2","6","0"
"40388260","9","5","4","0"
"40388269","8","2","6","0"
"40388321","12","7","5","0"
"40388419","16","6","10","0"
"40388578","9","5","4","0"
"40388639","5","3","2","0"
"40388640","7","2","5","0"
"40388668","2","1","1","0"
"40388672","4","2","2","0"
"40388784","9","6","3","0"
"40388787","5","4","1","0"
"40388818","8","5","3","0"
"40388823","14","7","7","0"
"40388828","18","8","10","0"
"40388901","18","11","7","0"
"40388935","12","6","6","0"
"40389114","6","6","0","0"
"40389138","20","13","7","0"
"40389175","4","1","3","0"
"40389243","14","3","11","0"
"40389356","30","19","11","0"
"40389455","26","17","8","1"
"40389504","18","7","11","0"
"40389681","9","5","4","0"
"40389701","31","19","11","1"
"40389732","5","1","4","0"
"40389807","8","4","4","0"
"40389819","6","2","4","0"
"40389881","6","3","3","0"
"40390163","5","2","3","0"
"40390241","2","0","2","0"
"40390266","13","7","6","0"
"40390409","16","10","5","1"
"40390536","6","3","3","0"
"40390696","9","5","4","0"
"40390729","9","3","6","0"
"40390758","3","1","2","0"
"40390850","13","9","4","0"
"40390973","11","3","8","0"
"40391002","22","14","8","0"
"40391032","3","2","1","0"
"40391060","18","8","10","0"
"40391086","4","2","2","0"
"40391092","8","0","8","0"
"40391121","22","13","9","0"
"40391143","4","3","1","0"
"40391154","4","3","1","0"
"40391205","5","2","3","0"
"40391259","26","14","12","0"
"40391272","12","6","6","0"
"40391284","6","2","4","0"
"40391304","3","1","2","0"
"40391339","7","3","4","0"
"40391350","16","10","6","0"
"40391383","12","8","4","0"
"40391498","11","2","9","0"
"40391531","8","5","3","0"
"40391639","11","8","3","0"
"40391695","6","1","5","0"
"40391699","26","15","11","0"
"40391808","7","2","5","0"
"40391824","5","2","2","1"
"40391857","3","2","1","0"
"40391913","4","2","2","0"
"40391979","24","18","6","0"
"40392063","5","1","4","0"
"40392140","13","4","9","0"
"40392256","16","4","12","0"
"40392313","15","11","4","0"
"40392339","26","13","13","0"
"40392384","8","5","3","0"
"40392388","6","3","3","0"
"40392410","11","5","6","0"
"40392496","13","6","7","0"
"40392668","6","1","5","0"
